X,Y,Z,Vs
509538.54,6944218.5,43.85514667,560
509539.05,6944218.57,43.93041495,560
509539.16,6944218.58,44,560
509539.05,6944218.57,44,560
509536.99,6944218.3,44,560
509536.5,6944218.24,44,560
509536.99,6944218.3,43.93651143,560
509537.51,6944218.37,43.90029247,560
509538.02,6944218.43,43.87516924,560
509539.05,6944218.57,43.93041495,565
509538.54,6944218.5,43.85514667,565
509538.02,6944218.43,43.87516924,565
509537.51,6944218.37,43.90029247,565
509536.99,6944218.3,43.93651143,565
509536.5,6944218.24,44,565
509536.99,6944218.3,44,565
509535.96,6944218.17,44,565
509535.51,6944218.11,44,565
509535.96,6944218.17,43.83503364,565
509536.48,6944218.23,43.72875253,565
509536.99,6944218.3,43.68729192,565
509537.51,6944218.37,43.66950289,565
509538.02,6944218.43,43.66133039,565
509538.54,6944218.5,43.65654706,565
509539.05,6944218.57,43.74481842,565
509539.44,6944218.62,44,565
509539.05,6944218.57,44,565
509539.16,6944218.58,44,565
509524.32,6944216.66,43.5,565
509524.64,6944216.7,43.80364552,565
509524.73,6944216.71,44,565
509524.64,6944216.7,44,565
509524.64,6944216.7,44,565
509524.13,6944216.63,43.5,565
509523.85,6944216.6,43.5,565
509524.13,6944216.63,43.41714163,565
509539.44,6944218.62,44,570
509539.05,6944218.57,43.74481842,570
509538.54,6944218.5,43.65654706,570
509538.02,6944218.43,43.66133039,570
509537.51,6944218.37,43.66950289,570
509536.99,6944218.3,43.68729192,570
509536.48,6944218.23,43.72875253,570
509535.96,6944218.17,43.83503364,570
509535.51,6944218.11,44,570
509535.96,6944218.17,44,570
509535.45,6944218.1,44,570
509535.09,6944218.05,44,570
509535.45,6944218.1,43.69294671,570
509535.96,6944218.17,43.52471275,570
509536.13,6944218.19,43.5,570
509536.48,6944218.23,43.46655128,570
509536.99,6944218.3,43.45385406,570
509537.51,6944218.37,43.45421555,570
509538.02,6944218.43,43.4599465,570
509538.54,6944218.5,43.46765045,570
509538.74,6944218.53,43.5,570
509539.05,6944218.57,43.55922189,570
509539.57,6944218.63,43.8960053,570
509539.66,6944218.65,44,570
509539.57,6944218.63,44,570
509539.05,6944218.57,44,570
509524.64,6944216.7,43.80364552,570
509524.32,6944216.66,43.5,570
509524.13,6944216.63,43.41714163,570
509523.85,6944216.6,43.5,570
509524.13,6944216.63,43.5,570
509523.61,6944216.57,43.5,570
509523.32,6944216.53,43.5,570
509523.61,6944216.57,43.00423791,570
509524.13,6944216.63,43.07022468,570
509524.64,6944216.7,43.29228231,570
509524.97,6944216.74,43.5,570
509525.07,6944216.76,44,570
509524.64,6944216.7,44,570
509524.73,6944216.71,44,570
509539.57,6944218.63,43.8960053,575
509539.05,6944218.57,43.55922189,575
509538.74,6944218.53,43.5,575
509538.54,6944218.5,43.46765045,575
509538.02,6944218.43,43.4599465,575
509537.51,6944218.37,43.45421555,575
509536.99,6944218.3,43.45385406,575
509536.48,6944218.23,43.46655128,575
509536.13,6944218.19,43.5,575
509535.96,6944218.17,43.52471275,575
509535.45,6944218.1,43.69294671,575
509535.09,6944218.05,44,575
509535.45,6944218.1,44,575
509534.94,6944218.03,44,575
509534.77,6944218.01,44,575
509534.94,6944218.03,43.72786854,575
509535.22,6944218.07,43.5,575
509535.45,6944218.1,43.39843015,575
509535.96,6944218.17,43.29609913,575
509536.48,6944218.23,43.26427043,575
509536.99,6944218.3,43.26814571,575
509537.51,6944218.37,43.28180338,575
509538.02,6944218.43,43.29683006,575
509538.54,6944218.5,43.31487473,575
509539.05,6944218.57,43.4010241,575
509539.24,6944218.59,43.5,575
509539.57,6944218.63,43.71085094,575
509539.83,6944218.67,44,575
509539.57,6944218.63,44,575
509539.66,6944218.65,44,575
509524.97,6944216.74,43.5,575
509524.64,6944216.7,43.29228231,575
509524.13,6944216.63,43.07022468,575
509523.61,6944216.57,43.00423791,575
509523.32,6944216.53,43.5,575
509523.61,6944216.57,43.5,575
509523.1,6944216.5,43.5,575
509523.02,6944216.49,43.5,575
509523.08,6944216.5,43,575
509523.1,6944216.5,42.96933991,575
509523.61,6944216.57,42.81188671,575
509524.13,6944216.63,42.84545821,575
509524.64,6944216.7,42.96548189,575
509524.75,6944216.71,43,575
509525.16,6944216.77,43.25959029,575
509525.48,6944216.81,43.5,575
509525.55,6944216.82,44,575
509525.16,6944216.77,44,575
509524.64,6944216.7,44,575
509525.07,6944216.76,44,575
509539.57,6944218.63,43.71085094,580
509539.24,6944218.59,43.5,580
509539.05,6944218.57,43.4010241,580
509538.54,6944218.5,43.31487473,580
509538.02,6944218.43,43.29683006,580
509537.51,6944218.37,43.28180338,580
509536.99,6944218.3,43.26814571,580
509536.48,6944218.23,43.26427043,580
509535.96,6944218.17,43.29609913,580
509535.45,6944218.1,43.39843015,580
509535.22,6944218.07,43.5,580
509534.94,6944218.03,43.72786854,580
509534.77,6944218.01,44,580
509534.94,6944218.03,44,580
509534.49,6944217.98,44,580
509534.77,6944218.01,43.5,580
509534.94,6944218.03,43.36499114,580
509535.45,6944218.1,43.15293077,580
509535.96,6944218.17,43.07455537,580
509536.48,6944218.23,43.06198958,580
509536.99,6944218.3,43.08243735,580
509537.51,6944218.37,43.10939121,580
509538.02,6944218.43,43.13371362,580
509538.54,6944218.5,43.16209902,580
509539.05,6944218.57,43.25566595,580
509539.53,6944218.63,43.5,580
509539.57,6944218.63,43.52569657,580
509540,6944218.69,44,580
509539.57,6944218.63,44,580
509539.83,6944218.67,44,580
509525.55,6944216.82,44,580
509525.48,6944216.81,43.5,580
509525.16,6944216.77,43.25959029,580
