Easting,Northing,Elevation,Chainage,Velocity
511732.82,6940755.4,6.32959596,11.5,185
511732.96,6940755.37,6.354729886,11.64,185
511733.43,6940755.26,6.440091679,12.12,185
511733.91,6940755.16,6.562658722,12.61,185
511734.09,6940755.11,6.626767677,12.8,185
511733.91,6940755.16,6.654957879,12.61,185
511733.43,6940755.26,6.702736386,12.12,185
511732.96,6940755.37,6.723975847,11.64,185
511732.49,6940755.47,6.74158977,11.15,185
511732.01,6940755.58,6.678242489,10.67,185
511731.81,6940755.62,6.626767677,10.46,185
511732.01,6940755.58,6.393352801,10.67,185
511732.21,6940755.53,6.32959596,10.87,185
511732.49,6940755.47,6.313490156,11.15,185
511722.02,6940757.81,5.140909091,0.43,185
511721.6,6940757.9,5.30156032,0,185
511721.6,6940757.9,4.971594373,0,185
511732.96,6940755.37,6.23937966,11.64,190
511733.43,6940755.26,6.264601629,12.12,190
511733.91,6940755.16,6.300476602,12.61,190
511734.2,6940755.09,6.32959596,12.91,190
511734.38,6940755.05,6.390106038,13.09,190
511734.85,6940754.95,6.583919662,13.58,190
511734.95,6940754.92,6.626767677,13.68,190
511734.85,6940754.95,6.646794466,13.58,190
511734.38,6940755.05,6.735166065,13.09,190
511733.91,6940755.16,6.80178185,12.61,190
511733.43,6940755.26,6.84238475,12.12,190
511732.96,6940755.37,6.856052166,11.64,190
511732.49,6940755.47,6.86804582,11.15,190
511732.01,6940755.58,6.797397147,10.67,190
511731.54,6940755.68,6.672635485,10.18,190
511731.4,6940755.71,6.626767677,10.04,190
511731.41,6940755.71,6.32959596,10.05,190
511731.54,6940755.68,6.297997954,10.18,190
511732.01,6940755.58,6.23585295,10.67,190
511732.49,6940755.47,6.215284037,11.15,190
511732.21,6940755.53,6.32959596,10.87,190
511732.01,6940755.58,6.393352801,10.67,190
511731.81,6940755.62,6.626767677,10.46,190
511732.01,6940755.58,6.678242489,10.67,190
511732.49,6940755.47,6.74158977,11.15,190
511732.96,6940755.37,6.723975847,11.64,190
511733.43,6940755.26,6.702736386,12.12,190
511733.91,6940755.16,6.654957879,12.61,190
511734.09,6940755.11,6.626767677,12.8,190
511733.91,6940755.16,6.562658722,12.61,190
511733.43,6940755.26,6.440091679,12.12,190
511732.96,6940755.37,6.354729886,11.64,190
