Easting,Northing,Elevation,Chainage,Velocity,
512292.2,6940505.3,-5.14,0,240,
512292.2,6940505.3,-5.25,0,240,
512292.2,6940505.3,-5.25,0,245,
512292.2,6940505.3,-5.36,0,245,
512292.2,6940505.3,-5.36,0,250,
512292.2,6940505.3,-5.47,0,250,
512292.2,6940505.3,-5.47,0,255,
512292.2,6940505.3,-5.47,0,255,
512292.2,6940505.3,-5.58,0,255,
512292.2,6940505.3,-5.58,0,260,
512292.2,6940505.3,-5.7,0,260,
512292.2,6940505.3,-5.7,0,265,
512292.2,6940505.3,-5.82,0,265,
512292.2,6940505.3,-5.82,0,270,
512292.2,6940505.3,-5.95,0,270,
512292.2,6940505.3,-5.95,0,275,
512292.2,6940505.3,-6.08,0,275,
512292.2,6940505.3,-6.08,0,280,
512292.2,6940505.3,-6.08,0,280,
512292.2,6940505.3,-6.22,0,280,
512292.2,6940505.3,-6.22,0,285,
512292.2,6940505.3,-6.37,0,285,
512292.2,6940505.3,-6.37,0,290,
512292.2,6940505.3,-6.53,0,290,
512292.2,6940505.3,-6.53,0,295,
512292.2,6940505.3,-6.7,0,295,
512292.2,6940505.3,-6.7,0,300,
512292.2,6940505.3,-6.88,0,300,
512292.2,6940505.3,-6.88,0,305,
512292.2,6940505.3,-6.88,0,305,
512292.2,6940505.3,-7.09,0,305,
512292.2,6940505.3,-7.09,0,310,
512292.2,6940505.3,-7.32,0,310,
512292.2,6940505.3,-7.32,0,315,
512292.2,6940505.3,-7.58,0,315,
512292.2,6940505.3,-7.58,0,320,
512292.2,6940505.3,-7.9,0,320,
512292.2,6940505.3,-7.9,0,325,
512292.2,6940505.3,-8.32,0,325,
512292.2,6940505.3,-8.32,0,330,
512292.2,6940505.3,-8.32,0,330,
512292.2,6940505.3,-8.96,0,330,
512292.2,6940505.3,-8.96,0,335,
512292.2,6940505.3,-10.71,0,335,
512292.2,6940505.3,-10.71,0,340,
512292.2,6940505.3,-11.56,0,340,
512292.2,6940505.3,-11.56,0,345,
512292.2,6940505.3,-12,0,345,
512292.2,6940505.3,-12,0,350,
512292.2,6940505.3,-12.31,0,350,
512292.2,6940505.3,-12.31,0,355,
512292.2,6940505.3,-12.31,0,355,
512292.2,6940505.3,-12.56,0,355,
512292.2,6940505.3,-12.56,0,360,
512292.2,6940505.3,-12.78,0,360,
512292.2,6940505.3,-12.78,0,365,
512292.2,6940505.3,-12.96,0,365,
512292.2,6940505.3,-12.96,0,370,
512292.2,6940505.3,-12.97,0,365,
512292.2,6940505.3,-12.97,0,370,
512292.2,6940505.3,-13.13,0,370,
512292.2,6940505.3,-13.13,0,375,
512292.2,6940505.3,-13.28,0,375,
512292.2,6940505.3,-13.28,0,380,
512292.2,6940505.3,-13.28,0,380,
512292.2,6940505.3,-13.42,0,380,
512292.2,6940505.3,-13.42,0,385,
512292.2,6940505.3,-13.55,0,385,
512292.2,6940505.3,-13.55,0,390,
512292.2,6940505.3,-13.68,0,390,
512292.2,6940505.3,-13.68,0,395,
512292.2,6940505.3,-13.8,0,395,
512292.2,6940505.3,-13.8,0,400,
512292.2,6940505.3,-13.91,0,400,
512292.2,6940505.3,-13.91,0,405,
512292.2,6940505.3,-13.91,0,405,
512292.2,6940505.3,-14.02,0,405,
512292.2,6940505.3,-14.02,0,410,
512292.2,6940505.3,-14.12,0,410,
512292.2,6940505.3,-14.12,0,415,
512292.2,6940505.3,-14.23,0,415,
512292.2,6940505.3,-14.23,0,420,
512292.2,6940505.3,-14.32,0,420,
512292.2,6940505.3,-14.32,0,425,
512292.2,6940505.3,-14.42,0,425,
512292.2,6940505.3,-14.42,0,430,
512292.2,6940505.3,-14.42,0,430,
512292.2,6940505.3,-14.51,0,430,
512292.2,6940505.3,-14.51,0,435,
512292.2,6940505.3,-14.6,0,435,
512292.2,6940505.3,-14.6,0,440,
512292.2,6940505.3,-14.69,0,440,
512292.2,6940505.3,-14.69,0,445,
512292.2,6940505.3,-14.78,0,445,
512292.2,6940505.3,-14.78,0,450,
512292.2,6940505.3,-14.87,0,450,
512292.2,6940505.3,-14.87,0,455,
512292.2,6940505.3,-14.87,0,455,
512292.2,6940505.3,-14.95,0,455,
512292.2,6940505.3,-14.95,0,460,
512292.2,6940505.3,-15.03,0,460,
512292.2,6940505.3,-15.03,0,465,
512292.2,6940505.3,-15.12,0,465,
512292.2,6940505.3,-15.12,0,470,
512292.2,6940505.3,-15.2,0,470,
512292.2,6940505.3,-15.2,0,475,
512292.2,6940505.3,-15.28,0,475,
512292.2,6940505.3,-15.28,0,480,
512292.2,6940505.3,-15.28,0,480,
512292.2,6940505.3,-15.36,0,480,
512292.2,6940505.3,-15.36,0,485,
512292.2,6940505.3,-15.43,0,485,
512292.2,6940505.3,-15.43,0,490,
512292.2,6940505.3,-15.51,0,490,
512292.2,6940505.3,-15.51,0,495,
512292.2,6940505.3,-15.59,0,495,
512292.2,6940505.3,-15.59,0,495,
512292.2,6940505.3,-15.59,0,500,
512292.2,6940505.3,-15.59,0,500,
512292.2,6940505.3,-15.66,0,500,
512292.2,6940505.3,-15.66,0,505,
512292.2,6940505.3,-15.66,0,505,
512292.2,6940505.3,-15.73,0,505,
512292.2,6940505.3,-15.73,0,510,
512292.2,6940505.3,-15.81,0,510,
512292.2,6940505.3,-15.81,0,515,
512292.2,6940505.3,-15.88,0,515,
512292.2,6940505.3,-15.88,0,520,
512292.2,6940505.3,-15.95,0,520,
512292.2,6940505.3,-15.95,0,525,
512292.2,6940505.3,-16.03,0,525,
512292.2,6940505.3,-16.03,0,530,
512292.2,6940505.3,-16.03,0,530,
512292.2,6940505.3,-16.1,0,530,
512292.2,6940505.3,-16.1,0,535,
512292.2,6940505.3,-16.17,0,535,
512292.2,6940505.3,-16.17,0,540,
512292.2,6940505.3,-16.24,0,540,
512292.2,6940505.3,-16.24,0,545,
512292.2,6940505.3,-16.31,0,545,
512292.2,6940505.3,-16.31,0,550,
512292.2,6940505.3,-16.38,0,550,
512292.2,6940505.3,-16.38,0,555,
512292.2,6940505.3,-16.38,0,555,
512292.2,6940505.3,-16.45,0,555,
512292.2,6940505.3,-16.45,0,560,
512292.2,6940505.3,-16.52,0,560,
512292.2,6940505.3,-16.52,0,565,
512292.2,6940505.3,-16.59,0,565,
512292.2,6940505.3,-16.59,0,570,
512292.2,6940505.3,-16.66,0,570,
512292.2,6940505.3,-16.66,0,575,
512292.2,6940505.3,-16.72,0,575,
512292.2,6940505.3,-16.72,0,580,
512292.2,6940505.3,-16.72,0,580,
512292.2,6940505.3,-16.79,0,580,
512292.2,6940505.3,-16.79,0,585,
512292.2,6940505.3,-16.86,0,585,
512292.2,6940505.3,-16.86,0,590,
512292.2,6940505.3,-16.93,0,590,
512292.2,6940505.3,-16.93,0,595,
512292.2,6940505.3,-17.01,0,595,
512292.2,6940505.3,-17.01,0,600,
512292.2,6940505.3,-17.09,0,600,
512292.2,6940505.3,-17.09,0,605,
512292.2,6940505.3,-17.09,0,605,
512292.2,6940505.3,-17.17,0,605,
512292.2,6940505.3,-17.17,0,610,
512292.2,6940505.3,-17.25,0,610,
512292.2,6940505.3,-17.25,0,615,
512292.2,6940505.3,-17.33,0,615,
512292.2,6940505.3,-17.33,0,620,
512292.2,6940505.3,-17.47,0,620,
512292.2,6940505.3,-17.47,0,625,
512292.2,6940505.3,-17.61,0,625,
512292.2,6940505.3,-17.61,0,630,
512292.2,6940505.3,-17.61,0,630,
512292.2,6940505.3,-17.76,0,630,
512292.2,6940505.3,-17.76,0,635,
512292.2,6940505.3,-17.77,0,635,
512292.2,6940505.29,-2.7,0.01,175,
512292.2,6940505.29,-2.7,0.01,180,
512292.2,6940505.29,-2.7,0.01,180,
512292.2,6940505.29,-16.24,0.01,540,
512292.2,6940505.29,-16.24,0.01,545,
512292.2,6940505.29,-17.77,0.01,630,
512292.2,6940505.29,-17.77,0.01,635,
512292.2,6940505.28,2.76,0.02,210,
512292.2,6940505.28,2.76,0.02,215,
512292.2,6940505.28,-3.36,0.02,175,
512292.2,6940505.28,-3.36,0.02,180,
512292.2,6940505.28,-3.36,0.02,180,
512292.2,6940505.28,-10.78,0.02,335,
512292.2,6940505.28,-10.78,0.02,340,
512292.2,6940505.27,1.67,0.03,230,
512292.2,6940505.27,1.67,0.03,235,
512292.2,6940505.27,-9.03,0.03,330,
512292.2,6940505.27,-9.03,0.03,335,
512292.2,6940505.26,-7.94,0.04,320,
512292.2,6940505.26,-7.94,0.04,325,
512292.2,6940505.25,-8.38,0.05,325,
512292.2,6940505.25,-8.38,0.05,330,
512292.2,6940505.25,-8.38,0.05,330,
512292.2,6940505.25,-8.38,0.05,330,
512292.2,6940505.25,-16.46,0.05,555,
512292.2,6940505.25,-16.46,0.05,560,
512292.21,6940505.24,-15.37,0.07,480,
512292.21,6940505.24,-15.37,0.07,485,
512292.21,6940505.21,2.32,0.09,240,
512292.21,6940505.21,2.32,0.09,245,
512292.21,6940505.21,2.1,0.09,245,
512292.21,6940505.21,2.1,0.09,250,
512292.21,6940505.21,-16.68,0.09,570,
512292.21,6940505.21,-16.68,0.09,575,
512292.21,6940505.21,-17.11,0.09,600,
512292.21,6940505.21,-17.11,0.09,605,
512292.21,6940505.21,-17.11,0.09,605,
512292.21,6940505.2,-9.25,0.1,330,
512292.21,6940505.2,-9.25,0.1,335,
512292.21,6940505.2,-14.71,0.1,440,
512292.21,6940505.2,-14.71,0.1,445,
512292.21,6940505.19,1.01,0.11,155,
512292.21,6940505.19,1.01,0.11,160,
512292.21,6940505.19,-11.66,0.11,340,
512292.21,6940505.19,-11.66,0.11,345,
512292.21,6940505.19,-17.55,0.11,620,
512292.21,6940505.19,-17.55,0.11,625,
512292.21,6940505.18,-4.45,0.12,205,
512292.21,6940505.18,-4.45,0.12,210,
512292.21,6940505.18,-11,0.12,335,
512292.21,6940505.18,-11,0.12,340,
512292.21,6940505.17,1.88,0.13,240,
512292.21,6940505.17,1.88,0.13,245,
512292.21,6940505.17,-5.98,0.13,270,
512292.21,6940505.17,-5.98,0.13,275,
512292.21,6940505.17,-16.9,0.13,585,
512292.21,6940505.17,-16.9,0.13,590,
512292.21,6940505.16,-6.41,0.14,285,
512292.21,6940505.16,-6.41,0.14,290,
512292.21,6940505.14,-9.47,0.16,330,
512292.21,6940505.14,-9.47,0.16,335,
512292.21,6940505.13,-7.72,0.17,315,
512292.21,6940505.13,-7.72,0.17,320,
512292.21,6940505.12,-8.6,0.18,325,
512292.21,6940505.12,-8.6,0.18,330,
512292.21,6940505.12,-8.6,0.18,330,
512292.21,6940505.13,-12.09,0.18,345,
512292.21,6940505.13,-12.09,0.18,350,
512292.21,6940505.12,-15.15,0.18,465,
512292.21,6940505.12,-15.15,0.18,470,
512292.21,6940505.11,-17.77,0.19,625,
512292.21,6940505.11,-17.77,0.19,630,
512292.21,6940505.11,-17.77,0.19,630,
512292.22,6940505.1,1.67,0.2,225,
512292.22,6940505.1,1.67,0.2,230,
512292.22,6940505.1,1.67,0.2,230,
512292.22,6940505.09,2.54,0.21,225,
512292.22,6940505.09,2.54,0.21,230,
512292.22,6940505.09,2.54,0.21,230,
512292.22,6940505.1,1.45,0.21,205,
512292.22,6940505.1,1.45,0.21,210,
512292.22,6940505.09,-9.69,0.21,330,
512292.22,6940505.09,-9.69,0.21,335,
512292.22,6940505.08,-3.14,0.22,175,
512292.22,6940505.08,-3.14,0.22,180,
512292.22,6940505.08,-3.14,0.22,180,
512292.22,6940505.08,-4.01,0.22,190,
512292.22,6940505.08,-4.01,0.22,195,
512292.22,6940505.08,-14.06,0.22,405,
512292.22,6940505.08,-14.06,0.22,410,
512292.22,6940505.08,-17.33,0.22,610,
512292.22,6940505.08,-17.33,0.22,615,
512292.22,6940505.07,1.23,0.23,180,
512292.22,6940505.07,1.23,0.23,185,
512292.22,6940505.07,-2.92,0.23,175,
512292.22,6940505.07,-2.92,0.23,180,
512292.22,6940505.07,-2.92,0.23,180,
512292.22,6940505.07,-8.16,0.23,320,
512292.22,6940505.07,-8.16,0.23,325,
512292.22,6940505.07,-13.84,0.23,395,
512292.22,6940505.07,-13.84,0.23,400,
512292.22,6940505.06,3.37,0.24,150,
512292.22,6940505.06,3.32,0.24,150,
512292.22,6940505.06,3.32,0.24,155,
512292.22,6940505.06,3.32,0.24,155,
512292.22,6940505.06,3.28,0.24,155,
512292.22,6940505.06,3.28,0.24,160,
512292.22,6940505.06,3.23,0.24,160,
512292.22,6940505.06,3.23,0.24,165,
512292.22,6940505.06,3.18,0.24,165,
512292.22,6940505.06,3.18,0.24,170,
512292.22,6940505.06,3.13,0.24,170,
512292.22,6940505.06,3.13,0.24,175,
512292.22,6940505.06,3.08,0.24,175,
512292.22,6940505.06,3.08,0.24,180,
512292.22,6940505.06,3.08,0.24,180,
512292.22,6940505.06,3.04,0.24,180,
512292.22,6940505.06,3.04,0.24,185,
