Easting,Northing,Elevation,Chainage,Vs
510303.20,6942873.27,43.50,0.00,350.00
510303.20,6942873.27,43.44,0.00,350.00
510303.20,6942873.27,43.35,0.00,355.00
510303.20,6942873.27,43.25,0.00,360.00
510303.20,6942873.27,43.15,0.00,365.00
510303.20,6942873.27,43.06,0.00,370.00
510303.20,6942873.27,42.97,0.00,375.00
510303.20,6942873.27,42.89,0.00,380.00
510303.20,6942873.27,39.28,0.00,380.00
510303.20,6942873.27,38.99,0.00,380.00
510303.20,6942873.27,42.81,0.00,385.00
510303.20,6942873.27,38.80,0.00,385.00
510303.20,6942873.27,39.67,0.00,385.00
510303.20,6942873.27,42.73,0.00,390.00
510303.20,6942873.27,38.60,0.00,390.00
510303.20,6942873.27,39.86,0.00,390.00
510303.20,6942873.27,42.65,0.00,395.00
510303.20,6942873.27,40.02,0.00,395.00
510303.20,6942873.27,38.46,0.00,395.00
510303.20,6942873.27,42.58,0.00,400.00
510303.20,6942873.27,40.12,0.00,400.00
510303.20,6942873.27,38.37,0.00,400.00
510303.20,6942873.27,42.50,0.00,405.00
510303.20,6942873.27,40.22,0.00,405.00
510303.20,6942873.27,38.28,0.00,405.00
510303.20,6942873.27,42.40,0.00,410.00
510303.20,6942873.27,40.32,0.00,410.00
510303.20,6942873.27,38.18,0.00,410.00
510303.20,6942873.27,42.31,0.00,415.00
510303.20,6942873.27,40.42,0.00,415.00
510303.20,6942873.27,38.09,0.00,415.00
510303.20,6942873.27,42.22,0.00,420.00
510303.20,6942873.27,40.53,0.00,420.00
510303.20,6942873.27,38.00,0.00,420.00
510303.20,6942873.27,42.12,0.00,425.00
510303.20,6942873.27,40.66,0.00,425.00
510303.20,6942873.27,37.93,0.00,425.00
510303.20,6942873.27,42.03,0.00,430.00
510303.20,6942873.27,40.79,0.00,430.00
510303.20,6942873.27,37.86,0.00,430.00
510303.20,6942873.27,41.88,0.00,435.00
510303.20,6942873.27,40.92,0.00,435.00
510303.20,6942873.27,37.79,0.00,435.00
510303.20,6942873.27,41.71,0.00,440.00
510303.20,6942873.27,41.12,0.00,440.00
510303.20,6942873.27,37.72,0.00,440.00
510303.20,6942873.27,41.54,0.00,445.00
510303.20,6942873.27,41.43,0.00,445.00
510303.20,6942873.27,37.64,0.00,445.00
510303.20,6942873.27,37.57,0.00,450.00
510303.20,6942873.27,37.50,0.00,455.00
510303.20,6942873.27,37.44,0.00,460.00
510303.20,6942873.27,37.37,0.00,465.00
510303.20,6942873.27,37.31,0.00,470.00
510303.20,6942873.27,37.25,0.00,475.00
510303.20,6942873.27,37.19,0.00,480.00
510303.20,6942873.27,37.12,0.00,485.00
510303.20,6942873.27,37.06,0.00,490.00
510303.20,6942873.27,37.00,0.00,495.00
510303.20,6942873.27,36.94,0.00,500.00
510303.20,6942873.27,36.88,0.00,505.00
510303.20,6942873.27,36.82,0.00,510.00
510303.20,6942873.27,36.76,0.00,515.00
510303.20,6942873.27,36.70,0.00,520.00
510303.20,6942873.27,36.64,0.00,525.00
510303.20,6942873.27,36.58,0.00,530.00
510303.20,6942873.27,36.52,0.00,535.00
510303.20,6942873.27,36.46,0.00,540.00
510303.20,6942873.27,36.39,0.00,545.00
510303.20,6942873.27,36.33,0.00,550.00
510303.20,6942873.27,36.27,0.00,555.00
510303.20,6942873.27,36.21,0.00,560.00
510303.20,6942873.27,36.15,0.00,565.00
510303.20,6942873.27,36.08,0.00,570.00
510303.20,6942873.27,36.02,0.00,575.00
510303.20,6942873.27,35.95,0.00,580.00
510303.20,6942873.27,35.88,0.00,585.00
510303.20,6942873.27,35.80,0.00,590.00
510303.20,6942873.27,35.73,0.00,595.00
510303.20,6942873.27,35.66,0.00,600.00
510303.20,6942873.27,35.58,0.00,605.00
510303.20,6942873.27,35.51,0.00,610.00
510303.20,6942873.27,35.42,0.00,615.00
510303.20,6942873.27,35.32,0.00,620.00
510303.20,6942873.27,35.22,0.00,625.00
510303.20,6942873.27,35.12,0.00,630.00
510303.20,6942873.27,35.03,0.00,635.00
510303.20,6942873.27,34.90,0.00,640.00
510303.20,6942873.27,34.75,0.00,645.00
510303.20,6942873.27,34.61,0.00,650.00
510303.20,6942873.27,34.45,0.00,655.00
510303.20,6942873.27,34.24,0.00,660.00
510303.20,6942873.27,34.03,0.00,665.00
510303.20,6942873.27,33.79,0.00,670.00
510303.20,6942873.27,33.55,0.00,675.00
510303.20,6942873.27,33.31,0.00,680.00
510303.20,6942873.27,33.08,0.00,685.00
510303.20,6942873.27,32.85,0.00,690.00
510303.20,6942873.27,32.61,0.00,695.00
510303.20,6942873.27,32.34,0.00,700.00
510303.20,6942873.27,32.04,0.00,705.00
510303.20,6942873.27,31.49,0.00,710.00
510303.20,6942873.27,30.89,0.00,715.00
510303.20,6942873.27,30.21,0.00,720.00
510303.20,6942873.27,29.55,0.00,725.00
510303.20,6942873.27,29.19,0.00,730.00
510303.20,6942873.27,28.86,0.00,735.00
510303.20,6942873.27,28.55,0.00,740.00
510303.20,6942873.27,28.23,0.00,745.00
510303.20,6942873.27,27.91,0.00,750.00
510303.20,6942873.27,27.59,0.00,755.00
510303.20,6942873.27,27.28,0.00,760.00
510303.20,6942873.27,26.98,0.00,765.00
510303.20,6942873.27,26.72,0.00,770.00
510303.20,6942873.27,26.47,0.00,775.00
510303.20,6942873.27,26.26,0.00,780.00
510303.20,6942873.27,26.05,0.00,785.00
510303.20,6942873.27,25.87,0.00,790.00
510303.20,6942873.27,25.69,0.00,795.00
510303.20,6942873.27,25.51,0.00,800.00
510303.20,6942873.27,25.35,0.00,805.00
510303.20,6942873.27,25.18,0.00,810.00
510303.20,6942873.27,25.02,0.00,815.00
510303.20,6942873.27,24.86,0.00,820.00
510303.20,6942873.27,24.70,0.00,825.00
510303.20,6942873.27,24.55,0.00,830.00
510303.20,6942873.27,24.39,0.00,835.00
510303.20,6942873.27,24.23,0.00,840.00
510303.20,6942873.27,24.07,0.00,845.00
510303.20,6942873.27,23.91,0.00,850.00
510303.20,6942873.27,23.75,0.00,855.00
