Easting,Northing,Elevation,Chainage,Velocity
518615.24,6934784.53,5.78,0.00,150.00
518615.24,6934784.53,4.87,0.00,150.00
518615.24,6934784.53,6.17,0.00,200.00
518615.24,6934784.53,4.33,0.00,200.00
518615.24,6934784.53,6.47,0.00,250.00
518615.24,6934784.53,3.87,0.00,250.00
518615.24,6934784.53,6.77,0.00,300.00
518615.24,6934784.53,3.42,0.00,300.00
518615.24,6934784.53,2.92,0.00,350.00
518615.24,6934784.53,7.59,0.00,350.00
518615.24,6934784.53,7.24,0.00,350.00
518615.24,6934784.53,2.34,0.00,400.00
518615.24,6934784.53,1.53,0.00,450.00
518615.24,6934784.53,0.00,0.00,500.00
518615.24,6934784.53,-2.63,0.00,550.00
518615.24,6934784.53,-5.09,0.00,600.00
518615.24,6934784.53,-8.62,0.00,650.00
518615.24,6934784.53,-11.02,0.00,700.00
518615.24,6934784.53,-12.10,0.00,750.00
518615.24,6934784.53,-12.87,0.00,800.00
518615.24,6934784.53,-13.51,0.00,850.00
518615.24,6934784.53,-14.09,0.00,900.00
518615.24,6934784.53,-14.62,0.00,950.00
518615.24,6934784.53,-15.13,0.00,1000.00
518615.24,6934784.53,5.54,0.00,130.00
518615.24,6934784.53,5.14,0.00,130.00
518615.24,6934784.53,5.14,0.00,135.00
518615.24,6934784.53,5.03,0.00,135.00
518615.24,6934784.53,5.64,0.00,135.00
518615.24,6934784.53,5.54,0.00,135.00
518615.24,6934784.53,5.73,0.00,140.00
518615.24,6934784.53,5.64,0.00,140.00
518615.24,6934784.53,5.03,0.00,140.00
518615.24,6934784.53,4.93,0.00,140.00
518615.24,6934784.53,4.93,0.00,145.00
518615.24,6934784.53,4.87,0.00,145.00
518615.24,6934784.53,5.78,0.00,145.00
518615.24,6934784.53,5.73,0.00,145.00
518615.24,6934784.53,4.87,0.00,150.00
518615.24,6934784.53,4.80,0.00,150.00
518615.24,6934784.53,5.83,0.00,150.00
518615.24,6934784.53,5.78,0.00,150.00
518615.24,6934784.53,4.80,0.00,155.00
518615.24,6934784.53,4.74,0.00,155.00
518615.24,6934784.53,5.87,0.00,155.00
518615.24,6934784.53,5.83,0.00,155.00
518615.24,6934784.53,4.74,0.00,160.00
518615.24,6934784.53,4.68,0.00,160.00
518615.24,6934784.53,5.92,0.00,160.00
518615.24,6934784.53,5.87,0.00,160.00
518615.24,6934784.53,4.68,0.00,165.00
518615.24,6934784.53,4.62,0.00,165.00
518615.24,6934784.53,5.97,0.00,165.00
518615.24,6934784.53,5.92,0.00,165.00
518615.24,6934784.53,4.62,0.00,170.00
518615.24,6934784.53,4.57,0.00,170.00
518615.24,6934784.53,6.01,0.00,170.00
518615.24,6934784.53,5.97,0.00,170.00
518615.24,6934784.53,4.57,0.00,175.00
518615.24,6934784.53,4.52,0.00,175.00
518615.24,6934784.53,6.04,0.00,175.00
518615.24,6934784.53,6.01,0.00,175.00
518615.24,6934784.53,4.52,0.00,180.00
518615.24,6934784.53,4.47,0.00,180.00
518615.24,6934784.53,6.07,0.00,180.00
518615.24,6934784.53,6.04,0.00,180.00
518615.24,6934784.53,4.47,0.00,185.00
518615.24,6934784.53,4.42,0.00,185.00
518615.24,6934784.53,6.11,0.00,185.00
518615.24,6934784.53,6.07,0.00,185.00
518615.24,6934784.53,4.42,0.00,190.00
518615.24,6934784.53,4.37,0.00,190.00
518615.24,6934784.53,6.14,0.00,190.00
518615.24,6934784.53,6.11,0.00,190.00
518615.24,6934784.53,4.37,0.00,195.00
518615.24,6934784.53,4.33,0.00,195.00
518615.24,6934784.53,6.17,0.00,195.00
518615.24,6934784.53,6.14,0.00,195.00
