X,Y,Z,Vp
509541.1002,6944432.548,37.5,370
509541.1137,6944432.551,37.5,370
509541.1149,6944432.551,37.5,370
509541.1137,6944432.551,37.497059,370
509545.538,6944433.337,37,370
509545.5443,6944433.338,37.004594,370
509545.617,6944433.351,37,370
509545.5443,6944433.338,36.987635,370
509540.6214,6944432.463,37.461265,375
509540.4083,6944432.425,37.5,375
509540.6214,6944432.463,37.5,375
509541.1732,6944432.561,37.5,375
509541.1137,6944432.551,37.35177,375
509538.1273,6944432.02,37.5,375
509538.16,6944432.026,37.5,375
509538.6266,6944432.109,37.5,375
509538.16,6944432.026,37.416627,375
509545.4852,6944433.327,37,375
509545.5443,6944433.338,37.043076,375
509546.0366,6944433.425,37.012859,375
509546.1008,6944433.437,37,375
509546.0366,6944433.425,36.974979,375
509545.5443,6944433.338,36.884061,375
509541.2315,6944432.572,37.5,380
509541.1137,6944432.551,37.206481,380
509540.6214,6944432.463,37.323375,380
509540.1291,6944432.376,37.420109,380
509539.6368,6944432.288,37.472269,380
509539.1445,6944432.201,37.45693,380
509538.6522,6944432.113,37.372948,380
509538.16,6944432.026,37.281385,380
509538.0742,6944432.011,37.5,380
509545.4324,6944433.318,37,380
509545.5443,6944433.338,37.081558,380
509546.0366,6944433.425,37.05416,380
509546.3069,6944433.473,37,380
509546.0366,6944433.425,36.89462,380
509545.5443,6944433.338,36.780488,380
509477.4976,6944421.247,36,380
509477.6084,6944421.267,36.005464,380
509478.1007,6944421.354,36.002412,380
509478.1682,6944421.366,36,380
509478.1007,6944421.354,35.998893,380
509477.6084,6944421.267,35.997532,380
509541.2899,6944432.582,37.5,385
509541.1137,6944432.551,37.061192,385
509540.6214,6944432.463,37.185484,385
509540.1291,6944432.376,37.293701,385
509539.6368,6944432.288,37.361669,385
509539.1445,6944432.201,37.343359,385
509538.6522,6944432.113,37.241438,385
509538.16,6944432.026,37.146143,385
509538.0212,6944432.001,37.5,385
509545.3796,6944433.309,37,385
509545.5443,6944433.338,37.120039,385
509546.0366,6944433.425,37.095461,385
509546.5131,6944433.51,37,385
509546.0366,6944433.425,36.814261,385
509545.5443,6944433.338,36.676915,385
509537.0806,6944431.834,37,385
509537.1754,6944431.851,37.00421,385
509537.2599,6944431.866,37,385
509537.1754,6944431.851,36.996416,385
509482.5313,6944422.141,35.963776,385
509482.039,6944422.054,35.976678,385
509481.5467,6944421.966,35.989425,385
509481.0544,6944421.879,35.9976,385
509480.5621,6944421.791,35.998454,385
509480.0699,6944421.704,35.992824,385
509479.5776,6944421.616,35.985818,385
509479.0853,6944421.529,35.977164,385
509478.593,6944421.441,35.967445,385
509478.1007,6944421.354,35.960495,385
509477.6084,6944421.267,35.960866,385
509477.1161,6944421.179,35.973609,385
509476.6238,6944421.092,35.996924,385
509476.582,6944421.084,36,385
509476.6238,6944421.092,36.009225,385
509477.1161,6944421.179,36.064841,385
509477.6084,6944421.267,36.086644,385
509478.1007,6944421.354,36.086039,385
509478.593,6944421.441,36.073141,385
509479.0853,6944421.529,36.053979,385
509479.5776,6944421.616,36.034942,385
509480.0699,6944421.704,36.018156,385
509480.5621,6944421.791,36.003967,385
509481.0544,6944421.879,36.005938,385
509481.5467,6944421.966,36.023927,385
509482.039,6944422.054,36.046631,385
509482.5313,6944422.141,36.063445,385
509483.0236,6944422.229,36.069264,385
509483.5159,6944422.316,36.064846,385
509484.0082,6944422.404,36.050973,385
509484.5005,6944422.491,36.028986,385
509484.9927,6944422.579,36.001794,385
509485.0173,6944422.583,36,385
509484.9927,6944422.579,35.999042,385
509484.5005,6944422.491,35.983178,385
509484.0082,6944422.404,35.968434,385
509483.5159,6944422.316,35.958773,385
509483.0236,6944422.229,35.957101,385
509541.3482,6944432.592,37.5,390
509541.2155,6944432.569,37,390
509541.1137,6944432.551,36.964391,390
509540.8053,6944432.496,37,390
509540.6214,6944432.463,37.047594,390
509540.1291,6944432.376,37.167293,390
509539.6368,6944432.288,37.251069,390
509539.1445,6944432.201,37.229787,390
509538.6522,6944432.113,37.109927,390
509538.16,6944432.026,37.010901,390
509538.1091,6944432.017,37,390
509537.6677,6944431.938,36.959708,390
509537.1754,6944431.851,36.938743,390
509536.6831,6944431.763,36.960339,390
509536.3106,6944431.697,37,390
509536.6831,6944431.763,37.050359,390
509537.1754,6944431.851,37.071947,390
509537.6677,6944431.938,37.054977,390
509537.9682,6944431.992,37.5,390
509545.3268,6944433.299,37,390
509545.5443,6944433.338,37.158521,390
509546.0366,6944433.425,37.136761,390
509546.5289,6944433.513,37.057794,390
509546.623,6944433.53,37,390
509546.5289,6944433.513,36.945471,390
509546.0366,6944433.425,36.733901,390
509545.5443,6944433.338,36.573341,390
509489.8435,6944423.441,36.5,390
509489.9156,6944423.453,36.53473,390
509490.2001,6944423.504,36.5,390
509489.9156,6944423.453,36.472533,390
509482.5313,6944422.141,35.906346,390
509482.039,6944422.054,35.922444,390
509481.5467,6944421.966,35.938482,390
509481.0544,6944421.879,35.949509,390
509480.5621,6944421.791,35.952609,390
