Easting,Northing,Elevation,Chainage,Velocity,,,,,,,
512281.91,6940502.05,-5.33,0,270,,,,,,,
512281.91,6940502.05,-5.33,0,275,,,,,,,
512281.91,6940502.05,-5.46,0,275,,,,,,,
512281.91,6940502.05,-5.46,0,280,,,,,,,
512281.91,6940502.05,-5.6,0,280,,,,,,,
512281.91,6940502.05,-5.6,0,285,,,,,,,
512281.91,6940502.05,-5.6,0,285,,,,,,,
512281.91,6940502.05,-5.75,0,285,,,,,,,
512281.91,6940502.05,-5.75,0,290,,,,,,,
512281.91,6940502.05,-5.9,0,290,,,,,,,
512281.91,6940502.05,-5.9,0,295,,,,,,,
512281.91,6940502.05,-6.06,0,295,,,,,,,
512281.91,6940502.05,-6.06,0,300,,,,,,,
512281.91,6940502.05,-6.24,0,300,,,,,,,
512281.91,6940502.05,-6.24,0,305,,,,,,,
512281.91,6940502.05,-6.44,0,305,,,,,,,
512281.91,6940502.05,-6.44,0,310,,,,,,,
512281.91,6940502.05,-6.44,0,310,,,,,,,
512281.91,6940502.05,-6.65,0,310,,,,,,,
512281.91,6940502.05,-6.65,0,315,,,,,,,
512281.91,6940502.05,-6.89,0,315,,,,,,,
512281.91,6940502.05,-6.89,0,320,,,,,,,
512281.91,6940502.05,-7.16,0,320,,,,,,,
512281.91,6940502.05,-7.16,0,325,,,,,,,
512281.91,6940502.05,-7.47,0,325,,,,,,,
512281.91,6940502.05,-7.47,0,330,,,,,,,
512281.91,6940502.05,-7.84,0,330,,,,,,,
512281.91,6940502.05,-7.84,0,335,,,,,,,
512281.91,6940502.05,-7.84,0,335,,,,,,,
512281.91,6940502.05,-8.29,0,335,,,,,,,
512281.91,6940502.05,-8.29,0,340,,,,,,,
512281.91,6940502.05,-8.82,0,340,,,,,,,
512281.91,6940502.05,-8.82,0,345,,,,,,,
512281.91,6940502.05,-9.43,0,345,,,,,,,
512281.91,6940502.05,-9.43,0,350,,,,,,,
512281.91,6940502.05,-10.11,0,350,,,,,,,
512281.91,6940502.05,-10.11,0,355,,,,,,,
512281.91,6940502.05,-10.86,0,355,,,,,,,
512281.91,6940502.05,-10.86,0,360,,,,,,,
512281.91,6940502.05,-10.86,0,360,,,,,,,
512281.91,6940502.05,-11.78,0,360,,,,,,,
512281.91,6940502.05,-11.78,0,365,,,,,,,
512281.91,6940502.05,-13.92,0,365,,,,,,,
512281.91,6940502.05,-13.92,0,370,,,,,,,
512281.91,6940502.05,-16.28,0,370,,,,,,,
512281.91,6940502.05,-16.28,0,375,,,,,,,
512281.91,6940502.05,-16.87,0,375,,,,,,,
512281.91,6940502.05,-16.87,0,380,,,,,,,
512281.91,6940502.05,-17.28,0,380,,,,,,,
512281.91,6940502.05,-17.28,0,385,,,,,,,
512281.91,6940502.05,-17.28,0,385,,,,,,,
512281.91,6940502.05,-17.6,0,385,,,,,,,
512281.91,6940502.05,-17.6,0,390,,,,,,,
512281.91,6940502.05,-17.87,0,390,,,,,,,
512281.91,6940502.05,-17.87,0,395,,,,,,,
512281.91,6940502.05,-18.1,0,395,,,,,,,
512281.91,6940502.05,-18.1,0,400,,,,,,,
512281.91,6940502.05,-18.31,0,400,,,,,,,
512281.91,6940502.05,-18.31,0,405,,,,,,,
