Easting,Northing,Elevation,Chainage,Velocity
508953.09,6946602.59,49.30,0.00,360.00
508953.09,6946602.59,48.53,0.00,360.00
508953.09,6946602.59,48.53,0.00,365.00
508953.09,6946602.59,48.16,0.00,365.00
508953.09,6946602.59,49.72,0.00,365.00
508953.09,6946602.59,49.30,0.00,365.00
508953.09,6946602.59,48.16,0.00,370.00
508953.09,6946602.59,47.93,0.00,370.00
508953.09,6946602.59,49.99,0.00,370.00
508953.09,6946602.59,49.72,0.00,370.00
508953.09,6946602.59,47.93,0.00,375.00
508953.09,6946602.59,47.73,0.00,375.00
508953.09,6946602.59,50.21,0.00,375.00
508953.09,6946602.59,49.99,0.00,375.00
508953.09,6946602.59,47.73,0.00,380.00
508953.09,6946602.59,47.56,0.00,380.00
508953.09,6946602.59,50.40,0.00,380.00
508953.09,6946602.59,50.21,0.00,380.00
508953.09,6946602.59,47.56,0.00,385.00
508953.09,6946602.59,47.42,0.00,385.00
508953.09,6946602.59,50.59,0.00,385.00
508953.09,6946602.59,50.40,0.00,385.00
508953.09,6946602.59,47.42,0.00,390.00
508953.09,6946602.59,47.27,0.00,390.00
508953.09,6946602.59,50.76,0.00,390.00
508953.09,6946602.59,50.59,0.00,390.00
508953.09,6946602.59,47.27,0.00,395.00
508953.09,6946602.59,47.14,0.00,395.00
508953.09,6946602.59,50.92,0.00,395.00
508953.09,6946602.59,50.76,0.00,395.00
508953.09,6946602.59,47.14,0.00,400.00
508953.09,6946602.59,47.02,0.00,400.00
508953.09,6946602.59,51.08,0.00,400.00
508953.09,6946602.59,50.92,0.00,400.00
508953.09,6946602.59,47.02,0.00,405.00
508953.09,6946602.59,46.90,0.00,405.00
508953.09,6946602.59,51.24,0.00,405.00
508953.09,6946602.59,51.08,0.00,405.00
508953.09,6946602.59,46.90,0.00,410.00
508953.09,6946602.59,46.78,0.00,410.00
508953.09,6946602.59,51.39,0.00,410.00
508953.09,6946602.59,51.24,0.00,410.00
508953.09,6946602.59,46.78,0.00,415.00
508953.09,6946602.59,46.67,0.00,415.00
508953.09,6946602.59,51.54,0.00,415.00
508953.09,6946602.59,51.39,0.00,415.00
508953.09,6946602.59,46.67,0.00,420.00
508953.09,6946602.59,46.55,0.00,420.00
508953.09,6946602.59,51.70,0.00,420.00
508953.09,6946602.59,51.54,0.00,420.00
508953.09,6946602.59,46.55,0.00,425.00
508953.09,6946602.59,46.44,0.00,425.00
508953.09,6946602.59,51.85,0.00,425.00
508953.09,6946602.59,51.70,0.00,425.00
508953.09,6946602.59,46.44,0.00,430.00
508953.09,6946602.59,46.33,0.00,430.00
508953.09,6946602.59,52.01,0.00,430.00
508953.09,6946602.59,51.85,0.00,430.00
508953.09,6946602.59,46.33,0.00,435.00
508953.09,6946602.59,46.22,0.00,435.00
508953.09,6946602.59,52.17,0.00,435.00
508953.09,6946602.59,52.01,0.00,435.00
508953.09,6946602.59,46.22,0.00,440.00
508953.09,6946602.59,46.11,0.00,440.00
508953.09,6946602.59,52.35,0.00,440.00
508953.09,6946602.59,52.17,0.00,440.00
508953.09,6946602.59,46.11,0.00,445.00
508953.09,6946602.59,46.00,0.00,445.00
508953.09,6946602.59,52.54,0.00,445.00
508953.09,6946602.59,52.35,0.00,445.00
508953.09,6946602.59,46.00,0.00,450.00
508953.09,6946602.59,45.89,0.00,450.00
508953.09,6946602.59,52.75,0.00,450.00
508953.09,6946602.59,52.54,0.00,450.00
508953.09,6946602.59,45.89,0.00,455.00
508953.09,6946602.59,45.78,0.00,455.00
508953.09,6946602.59,53.03,0.00,455.00
508953.09,6946602.59,52.75,0.00,455.00
508953.09,6946602.59,53.53,0.00,460.00
508953.09,6946602.59,53.03,0.00,460.00
508953.09,6946602.59,45.78,0.00,460.00
508953.09,6946602.59,45.67,0.00,460.00
508953.09,6946602.59,45.67,0.00,465.00
508953.09,6946602.59,45.55,0.00,465.00
508953.09,6946602.59,54.42,0.00,465.00
508953.09,6946602.59,53.53,0.00,465.00
508953.09,6946602.59,45.55,0.00,470.00
508953.09,6946602.59,45.44,0.00,470.00
508953.09,6946602.59,45.44,0.00,475.00
508953.09,6946602.59,45.32,0.00,475.00
508953.09,6946602.59,45.32,0.00,480.00
508953.09,6946602.59,45.20,0.00,480.00
508953.09,6946602.59,45.20,0.00,485.00
508953.09,6946602.59,45.08,0.00,485.00
508953.09,6946602.59,45.08,0.00,490.00
508953.09,6946602.59,44.95,0.00,490.00
508953.09,6946602.59,44.95,0.00,495.00
508953.09,6946602.59,44.82,0.00,495.00
508953.09,6946602.59,34.09,0.00,495.00
508953.09,6946602.59,33.17,0.00,495.00
508953.09,6946602.59,44.82,0.00,500.00
508953.09,6946602.59,44.68,0.00,500.00
508953.09,6946602.59,33.17,0.00,500.00
508953.09,6946602.59,32.91,0.00,500.00
508953.09,6946602.59,34.39,0.00,500.00
508953.09,6946602.59,34.09,0.00,500.00
508953.09,6946602.59,44.68,0.00,505.00
508953.09,6946602.59,44.55,0.00,505.00
508953.09,6946602.59,32.91,0.00,505.00
508953.09,6946602.59,32.73,0.00,505.00
508953.09,6946602.59,34.62,0.00,505.00
508953.09,6946602.59,34.39,0.00,505.00
508953.09,6946602.59,44.55,0.00,510.00
508953.09,6946602.59,44.40,0.00,510.00
508953.09,6946602.59,32.73,0.00,510.00
508953.09,6946602.59,32.58,0.00,510.00
508953.09,6946602.59,34.82,0.00,510.00
508953.09,6946602.59,34.62,0.00,510.00
508953.09,6946602.59,44.40,0.00,515.00
508953.09,6946602.59,44.26,0.00,515.00
508953.09,6946602.59,32.58,0.00,515.00
508953.09,6946602.59,32.45,0.00,515.00
508953.09,6946602.59,34.99,0.00,515.00
508953.09,6946602.59,34.82,0.00,515.00
508953.09,6946602.59,44.26,0.00,520.00
508953.09,6946602.59,44.11,0.00,520.00
508953.09,6946602.59,32.45,0.00,520.00
