Easting,Northing,Elevation,Chainage,Velocity
518617.63,6934795.81,6.28,0.00,150.00
518617.63,6934795.81,4.98,0.00,150.00
518617.63,6934795.81,6.68,0.00,200.00
518617.63,6934795.81,4.54,0.00,200.00
518617.63,6934795.81,7.10,0.00,250.00
518617.63,6934795.81,4.13,0.00,250.00
518617.63,6934795.81,3.68,0.00,300.00
518617.63,6934795.81,3.15,0.00,350.00
518617.63,6934795.81,2.44,0.00,400.00
518617.63,6934795.81,1.06,0.00,450.00
518617.63,6934795.81,-2.40,0.00,500.00
518617.63,6934795.81,-5.07,0.00,550.00
518617.63,6934795.81,-9.41,0.00,600.00
518617.63,6934795.81,-11.71,0.00,650.00
518617.63,6934795.81,-12.82,0.00,700.00
518617.63,6934795.81,-13.68,0.00,750.00
518617.63,6934795.81,-14.44,0.00,800.00
518617.63,6934795.81,-15.13,0.00,850.00
518617.63,6934795.81,-15.79,0.00,900.00
518617.63,6934795.81,-16.49,0.00,950.00
518617.63,6934795.81,5.79,0.00,110.00
518617.63,6934795.81,5.49,0.00,110.00
518617.63,6934795.81,5.49,0.00,115.00
518617.63,6934795.81,5.39,0.00,115.00
518617.63,6934795.81,5.90,0.00,115.00
518617.63,6934795.81,5.79,0.00,115.00
518617.63,6934795.81,5.39,0.00,120.00
518617.63,6934795.81,5.29,0.00,120.00
518617.63,6934795.81,6.01,0.00,120.00
518617.63,6934795.81,5.90,0.00,120.00
518617.63,6934795.81,5.29,0.00,125.00
518617.63,6934795.81,5.21,0.00,125.00
518617.63,6934795.81,6.07,0.00,125.00
518617.63,6934795.81,6.01,0.00,125.00
518617.63,6934795.81,5.21,0.00,130.00
518617.63,6934795.81,5.16,0.00,130.00
518617.63,6934795.81,6.12,0.00,130.00
518617.63,6934795.81,6.07,0.00,130.00
518617.63,6934795.81,5.16,0.00,135.00
518617.63,6934795.81,5.10,0.00,135.00
518617.63,6934795.81,6.18,0.00,135.00
518617.63,6934795.81,6.12,0.00,135.00
518617.63,6934795.81,5.10,0.00,140.00
518617.63,6934795.81,5.04,0.00,140.00
518617.63,6934795.81,6.23,0.00,140.00
518617.63,6934795.81,6.18,0.00,140.00
518617.63,6934795.81,6.28,0.00,145.00
518617.63,6934795.81,6.23,0.00,145.00
518617.63,6934795.81,5.04,0.00,145.00
518617.63,6934795.81,4.98,0.00,145.00
518617.63,6934795.81,4.98,0.00,150.00
518617.63,6934795.81,4.94,0.00,150.00
518617.63,6934795.81,6.32,0.00,150.00
518617.63,6934795.81,6.28,0.00,150.00
518617.63,6934795.81,4.94,0.00,155.00
518617.63,6934795.81,4.89,0.00,155.00
518617.63,6934795.81,6.36,0.00,155.00
518617.63,6934795.81,6.32,0.00,155.00
518617.63,6934795.81,4.89,0.00,160.00
518617.63,6934795.81,4.85,0.00,160.00
518617.63,6934795.81,6.40,0.00,160.00
518617.63,6934795.81,6.36,0.00,160.00
518617.63,6934795.81,4.85,0.00,165.00
518617.63,6934795.81,4.80,0.00,165.00
518617.63,6934795.81,6.44,0.00,165.00
518617.63,6934795.81,6.40,0.00,165.00
518617.63,6934795.81,4.80,0.00,170.00
518617.63,6934795.81,4.75,0.00,170.00
518617.63,6934795.81,6.49,0.00,170.00
518617.63,6934795.81,6.44,0.00,170.00
518617.63,6934795.81,4.75,0.00,175.00
518617.63,6934795.81,4.71,0.00,175.00
518617.63,6934795.81,6.53,0.00,175.00
518617.63,6934795.81,6.49,0.00,175.00
518617.63,6934795.81,4.71,0.00,180.00
518617.63,6934795.81,4.67,0.00,180.00
518617.63,6934795.81,6.56,0.00,180.00
518617.63,6934795.81,6.53,0.00,180.00
518617.63,6934795.81,4.67,0.00,185.00
518617.63,6934795.81,4.63,0.00,185.00
518617.63,6934795.81,6.60,0.00,185.00
518617.63,6934795.81,6.56,0.00,185.00
518617.63,6934795.81,4.63,0.00,190.00
518617.63,6934795.81,4.58,0.00,190.00
518617.63,6934795.81,6.64,0.00,190.00
518617.63,6934795.81,6.60,0.00,190.00
518617.63,6934795.81,4.58,0.00,195.00
518617.63,6934795.81,4.54,0.00,195.00
518617.63,6934795.81,6.68,0.00,195.00
518617.63,6934795.81,6.64,0.00,195.00
518617.63,6934795.81,4.54,0.00,200.00
518617.63,6934795.81,4.50,0.00,200.00
518617.63,6934795.81,6.72,0.00,200.00
518617.63,6934795.81,6.68,0.00,200.00
518617.63,6934795.81,4.50,0.00,205.00
518617.63,6934795.81,4.46,0.00,205.00
518617.63,6934795.81,6.75,0.00,205.00
518617.63,6934795.81,6.72,0.00,205.00
518617.63,6934795.81,4.46,0.00,210.00
518617.63,6934795.81,4.42,0.00,210.00
518617.63,6934795.81,6.79,0.00,210.00
518617.63,6934795.81,6.75,0.00,210.00
518617.63,6934795.81,4.42,0.00,215.00
518617.63,6934795.81,4.38,0.00,215.00
518617.63,6934795.81,6.83,0.00,215.00
518617.63,6934795.81,6.79,0.00,215.00
518617.63,6934795.81,4.38,0.00,220.00
518617.63,6934795.81,4.34,0.00,220.00
518617.63,6934795.81,6.88,0.00,220.00
518617.63,6934795.81,6.83,0.00,220.00
518617.63,6934795.81,4.34,0.00,225.00
518617.63,6934795.81,4.30,0.00,225.00
518617.63,6934795.81,6.92,0.00,225.00
518617.63,6934795.81,6.88,0.00,225.00
518617.63,6934795.81,4.30,0.00,230.00
518617.63,6934795.81,4.25,0.00,230.00
518617.63,6934795.81,6.96,0.00,230.00
518617.63,6934795.81,6.92,0.00,230.00
518617.63,6934795.81,4.25,0.00,235.00
518617.63,6934795.81,4.21,0.00,235.00
518617.63,6934795.81,7.00,0.00,235.00
518617.63,6934795.81,6.96,0.00,235.00
518617.63,6934795.81,4.21,0.00,240.00
518617.63,6934795.81,4.17,0.00,240.00
518617.63,6934795.81,7.05,0.00,240.00
518617.63,6934795.81,7.00,0.00,240.00
518617.63,6934795.81,4.17,0.00,245.00
518617.63,6934795.81,4.13,0.00,245.00
518617.63,6934795.81,7.10,0.00,245.00
518617.63,6934795.81,7.05,0.00,245.00
518617.63,6934795.81,4.13,0.00,250.00
518617.63,6934795.81,4.08,0.00,250.00
518617.63,6934795.81,7.16,0.00,250.00
518617.63,6934795.81,7.10,0.00,250.00
518617.63,6934795.81,4.08,0.00,255.00
