X,Y,Z,Vs
509495.200000,6944425.200000,30.583241,255
509495.200000,6944425.200000,30.344597,255
509495.200000,6944425.200000,29.978510,260
509495.200000,6944425.200000,30.782654,260
509495.200000,6944425.200000,29.689566,265
509495.200000,6944425.200000,30.982068,265
509495.200000,6944425.200000,29.466827,270
509495.200000,6944425.200000,31.170711,270
509495.200000,6944425.200000,29.370376,275
509495.200000,6944425.200000,31.358289,275
509495.200000,6944425.200000,29.273925,280
509495.200000,6944425.200000,31.531372,280
509495.200000,6944425.200000,29.177474,285
509495.200000,6944425.200000,31.659672,285
509495.200000,6944425.200000,31.787971,290
509495.200000,6944425.200000,29.081022,290
509495.200000,6944425.200000,28.986671,295
509495.200000,6944425.200000,31.916270,295
509495.200000,6944425.200000,28.903344,300
509495.200000,6944425.200000,32.043193,300
509495.200000,6944425.200000,28.820018,305
509495.200000,6944425.200000,32.167532,305
509495.200000,6944425.200000,28.736692,310
509495.200000,6944425.200000,32.291871,310
509495.200000,6944425.200000,28.653365,315
509495.200000,6944425.200000,32.416209,315
509495.200000,6944425.200000,28.570039,320
509495.200000,6944425.200000,32.560080,320
509495.200000,6944425.200000,28.488713,325
509495.200000,6944425.200000,32.744310,325
509495.200000,6944425.200000,28.417930,330
509495.200000,6944425.200000,32.928541,330
509495.200000,6944425.200000,28.347148,335
509495.200000,6944425.200000,33.131510,335
509495.200000,6944425.200000,28.276365,340
509495.200000,6944425.200000,33.346353,340
509495.200000,6944425.200000,28.205582,345
509495.200000,6944425.200000,33.705785,345
509495.200000,6944425.200000,28.134800,350
509495.200000,6944425.200000,35.500000,350
509495.200000,6944425.200000,28.064017,355
509495.200000,6944425.200000,27.993683,360
509495.200000,6944425.200000,27.927597,365
509495.200000,6944425.200000,27.861511,370
509495.200000,6944425.200000,27.795425,375
509495.200000,6944425.200000,27.729339,380
509495.200000,6944425.200000,27.663252,385
509495.200000,6944425.200000,27.597166,390
509495.200000,6944425.200000,27.531080,395
509495.200000,6944425.200000,27.461939,400
509495.200000,6944425.200000,27.390086,405
509495.200000,6944425.200000,27.318233,410
509495.200000,6944425.200000,27.246380,415
509495.200000,6944425.200000,27.174527,420
509495.200000,6944425.200000,27.102674,425
509495.200000,6944425.200000,27.030821,430
509495.200000,6944425.200000,26.955703,435
509495.200000,6944425.200000,26.878131,440
509495.200000,6944425.200000,26.800560,445
509495.200000,6944425.200000,26.722988,450
509495.200000,6944425.200000,26.645417,455
509495.200000,6944425.200000,26.567846,460
509495.200000,6944425.200000,26.488783,465
509495.200000,6944425.200000,26.399318,470
509495.200000,6944425.200000,26.309853,475
509495.200000,6944425.200000,26.220389,480
509495.200000,6944425.200000,26.130924,485
509495.200000,6944425.200000,26.041459,490
509495.200000,6944425.200000,25.938024,495
509495.200000,6944425.200000,25.822524,500
509495.200000,6944425.200000,25.707024,505
509495.200000,6944425.200000,25.591524,510
509495.200000,6944425.200000,25.473130,515
509495.200000,6944425.200000,25.343689,520
509495.200000,6944425.200000,25.214248,525
509495.200000,6944425.200000,25.084807,530
509495.200000,6944425.200000,24.933345,535
509495.200000,6944425.200000,24.740042,540
509495.200000,6944425.200000,24.546739,545
509495.200000,6944425.200000,24.341707,550
509495.200000,6944425.200000,24.132933,555
509495.200000,6944425.200000,23.892614,560
509495.200000,6944425.200000,23.597001,565
509495.200000,6944425.200000,23.292141,570
509495.200000,6944425.200000,22.978509,575
509495.200000,6944425.200000,22.592730,580
509495.200000,6944425.200000,22.204421,585
