X,Y,Z,Vp
509503.4195,6944395.715,40.398307,320
509503.4832,6944395.219,40.410514,320
509503.5412,6944394.768,40.5,320
509503.4832,6944395.219,40.5,320
509503.3558,6944396.211,40.5,320
509503.3449,6944396.296,40.5,320
509503.3558,6944396.211,40.473395,320
509503.2921,6944396.707,40.5,325
509503.262,6944396.942,40.5,325
509503.2921,6944396.707,40.399952,325
509503.3558,6944396.211,40.247832,325
509503.4195,6944395.715,40.176153,325
509503.4832,6944395.219,40.178249,325
509503.5469,6944394.724,40.255982,325
509503.6106,6944394.228,40.491652,325
509503.6119,6944394.217,40.5,325
509503.6304,6944394.074,41,325
509503.6106,6944394.228,41,325
509503.5469,6944394.724,40.5,325
509503.2283,6944397.203,40.5,330
509503.1684,6944397.67,40.5,330
509503.2283,6944397.203,40.361642,330
509503.2921,6944396.707,40.166276,330
509503.3558,6944396.211,40.022269,330
509503.3763,6944396.051,40,330
509503.4195,6944395.715,39.972598,330
509503.4832,6944395.219,39.969553,330
509503.5445,6944394.742,40,330
509503.5469,6944394.724,40.002302,330
509503.6106,6944394.228,40.194107,330
509503.6585,6944393.855,40.5,330
509503.6658,6944393.798,41,330
509503.1646,6944397.699,40.5,335
509503.1164,6944398.075,40.5,335
509503.1646,6944397.699,40.261809,335
509503.2283,6944397.203,40.096598,335
509503.2639,6944396.926,40,335
509503.2921,6944396.707,39.9587,335
509503.3558,6944396.211,39.876811,335
509503.4195,6944395.715,39.840264,335
509503.4832,6944395.219,39.838635,335
509503.5469,6944394.724,39.869285,335
509503.6106,6944394.228,39.953197,335
509503.6314,6944394.066,40,335
509503.6743,6944393.732,40.260276,335
509503.6964,6944393.56,40.5,335
509503.7034,6944393.505,41,335
509503.6743,6944393.732,41,335
509503.1009,6944398.195,40.5,340
509503.0833,6944398.332,40.362042,340
509503.1009,6944398.195,40.281095,340
509503.1646,6944397.699,40.015486,340
509503.1704,6944397.654,40,340
509503.2283,6944397.203,39.904929,340
509503.2921,6944396.707,39.815511,340
509503.3558,6944396.211,39.740129,340
509503.4195,6944395.715,39.70793,340
509503.4832,6944395.219,39.707716,340
509503.5469,6944394.724,39.737374,340
509503.6106,6944394.228,39.818565,340
509503.6743,6944393.732,39.961198,340
509503.6845,6944393.652,40,340
509503.7298,6944393.3,40.5,340
509503.738,6944393.236,40.862288,340
509503.7406,6944393.216,41,340
509503.738,6944393.236,41,340
509503.0579,6944398.53,40.16203,345
509503.093,6944398.256,40,345
509503.1009,6944398.195,39.980737,345
509503.1646,6944397.699,39.854199,345
509503.2283,6944397.203,39.755338,345
509503.2921,6944396.707,39.672322,345
509503.3558,6944396.211,39.603446,345
509503.4195,6944395.715,39.575596,345
509503.4832,6944395.219,39.576797,345
509503.5469,6944394.724,39.605462,345
509503.6106,6944394.228,39.683933,345
509503.6743,6944393.732,39.824105,345
509503.7206,6944393.372,40,345
509503.738,6944393.236,40.195571,345
509503.7589,6944393.073,40.5,345
509503.7676,6944393.006,41,345
509503.0372,6944398.691,40,350
509503.0265,6944398.775,40,350
509503.0372,6944398.691,39.965807,350
509503.1009,6944398.195,39.812209,350
509503.1646,6944397.699,39.698617,350
509503.2283,6944397.203,39.605747,350
509503.2921,6944396.707,39.529133,350
509503.3211,6944396.481,39.5,350
509503.3558,6944396.211,39.478798,350
509503.4195,6944395.715,39.464171,350
509503.4832,6944395.219,39.466296,350
509503.5469,6944394.724,39.483799,350
509503.5694,6944394.548,39.5,350
509503.6106,6944394.228,39.549302,350
509503.6743,6944393.732,39.687012,350
509503.738,6944393.236,39.927758,350
509503.7522,6944393.125,40,350
509503.7866,6944392.858,40.5,350
509503.7946,6944392.795,41,350
509502.9735,6944399.187,40,355
509502.9702,6944399.212,40,355
509502.9735,6944399.187,39.987515,355
509503.0372,6944398.691,39.785751,355
509503.1009,6944398.195,39.643681,355
509503.1646,6944397.699,39.543036,355
509503.1956,6944397.458,39.5,355
509503.2283,6944397.203,39.470856,355
509503.2921,6944396.707,39.426198,355
509503.3558,6944396.211,39.39161,355
509503.4195,6944395.715,39.380605,355
509503.4832,6944395.219,39.384765,355
509503.5469,6944394.724,39.403,355
509503.6106,6944394.228,39.448851,355
509503.6511,6944393.913,39.5,355
509503.6743,6944393.732,39.549919,355
509503.738,6944393.236,39.787703,355
509503.7798,6944392.911,40,355
509503.8018,6944392.74,40.319654,355
509503.814,6944392.644,40.5,355
509503.8227,6944392.576,41,355
509503.8018,6944392.74,41,355
509502.9187,6944399.613,40,360
509502.9735,6944399.187,39.79169,360
509503.0372,6944398.691,39.605694,360
509503.0881,6944398.295,39.5,360
509503.1009,6944398.195,39.483119,360
509503.1646,6944397.699,39.422093,360
509503.2283,6944397.203,39.371422,360
509503.2921,6944396.707,39.333546,360
509503.3558,6944396.211,39.304422,360
509503.4195,6944395.715,39.297038,360
509503.4832,6944395.219,39.303235,360
509503.5469,6944394.724,39.322201,360
509503.6106,6944394.228,39.368149,360
509503.6743,6944393.732,39.448004,360
509503.6983,6944393.545,39.5,360
509503.738,6944393.236,39.647648,360
509503.8018,6944392.74,39.971216,360
509503.8069,6944392.699,40,360
509503.8413,6944392.432,40.5,360
509503.8513,6944392.355,41,360
509502.864,6944400.039,40,365
509502.9098,6944399.683,39.820396,365
509502.9735,6944399.187,39.595865,365
509503.0081,6944398.918,39.5,365
509503.0372,6944398.691,39.449626,365
509503.1009,6944398.195,39.36862,365
509503.1646,6944397.699,39.314397,365
509503.2283,6944397.203,39.271989,365
509503.2921,6944396.707,39.240893,365
509503.3558,6944396.211,39.217233,365
509503.4195,6944395.715,39.213472,365
509503.4832,6944395.219,39.221705,365
509503.5469,6944394.724,39.241402,365
509503.6106,6944394.228,39.287447,365
509503.6743,6944393.732,39.366232,365
509503.736,6944393.252,39.5,365
509503.738,6944393.236,39.507593,365
509503.8018,6944392.74,39.828373,365
509503.8327,6944392.499,40,365
509503.8655,6944392.244,40.459365,365
509503.8688,6944392.218,40.5,365
509503.8822,6944392.114,41,365
509503.8655,6944392.244,41,365
509502.8095,6944400.464,40,370
509502.8461,6944400.179,39.847735,370
509502.9098,6944399.683,39.603199,370
