Easting,Northing,Elevation,Chainage,Vs
510196.30,6942893.50,44.03,0.00,355.00
510196.30,6942893.50,43.22,0.00,355.00
510196.30,6942893.50,43.22,0.00,360.00
510196.30,6942893.50,42.94,0.00,360.00
510196.30,6942893.50,44.34,0.00,360.00
510196.30,6942893.50,44.03,0.00,360.00
510196.30,6942893.50,42.94,0.00,365.00
510196.30,6942893.50,42.77,0.00,365.00
510196.30,6942893.50,44.67,0.00,365.00
510196.30,6942893.50,44.34,0.00,365.00
510196.30,6942893.50,42.77,0.00,370.00
510196.30,6942893.50,42.59,0.00,370.00
510196.30,6942893.50,45.03,0.00,370.00
510196.30,6942893.50,44.67,0.00,370.00
510196.30,6942893.50,45.42,0.00,375.00
510196.30,6942893.50,45.03,0.00,375.00
510196.30,6942893.50,42.59,0.00,375.00
510196.30,6942893.50,42.45,0.00,375.00
510196.30,6942893.50,46.00,0.00,380.00
510196.30,6942893.50,45.42,0.00,380.00
510196.30,6942893.50,42.45,0.00,380.00
510196.30,6942893.50,42.35,0.00,380.00
510196.30,6942893.50,42.35,0.00,385.00
510196.30,6942893.50,42.25,0.00,385.00
510196.30,6942893.50,42.25,0.00,390.00
510196.30,6942893.50,42.15,0.00,390.00
510196.30,6942893.50,42.15,0.00,395.00
510196.30,6942893.50,42.05,0.00,395.00
510196.30,6942893.50,42.05,0.00,400.00
510196.30,6942893.50,41.96,0.00,400.00
510196.30,6942893.50,41.96,0.00,405.00
510196.30,6942893.50,41.88,0.00,405.00
510196.30,6942893.50,41.88,0.00,410.00
510196.30,6942893.50,41.80,0.00,410.00
510196.30,6942893.50,41.80,0.00,415.00
510196.30,6942893.50,41.73,0.00,415.00
510196.30,6942893.50,41.73,0.00,420.00
510196.30,6942893.50,41.65,0.00,420.00
510196.30,6942893.50,41.65,0.00,425.00
510196.30,6942893.50,41.57,0.00,425.00
510196.30,6942893.50,41.57,0.00,430.00
510196.30,6942893.50,41.49,0.00,430.00
510196.30,6942893.50,41.49,0.00,435.00
510196.30,6942893.50,41.42,0.00,435.00
510196.30,6942893.50,41.42,0.00,440.00
510196.30,6942893.50,41.35,0.00,440.00
510196.30,6942893.50,41.35,0.00,445.00
510196.30,6942893.50,41.28,0.00,445.00
510196.30,6942893.50,41.28,0.00,450.00
510196.30,6942893.50,41.21,0.00,450.00
510196.30,6942893.50,41.21,0.00,455.00
510196.30,6942893.50,41.13,0.00,455.00
510196.30,6942893.50,41.13,0.00,460.00
510196.30,6942893.50,41.06,0.00,460.00
510196.30,6942893.50,41.06,0.00,465.00
510196.30,6942893.50,40.99,0.00,465.00
510196.30,6942893.50,40.99,0.00,470.00
510196.30,6942893.50,40.92,0.00,470.00
510196.30,6942893.50,40.92,0.00,475.00
510196.30,6942893.50,40.84,0.00,475.00
510196.30,6942893.50,40.84,0.00,480.00
510196.30,6942893.50,40.77,0.00,480.00
510196.30,6942893.50,40.77,0.00,485.00
510196.30,6942893.50,40.69,0.00,485.00
510196.30,6942893.50,40.69,0.00,490.00
510196.30,6942893.50,40.62,0.00,490.00
510196.30,6942893.50,40.62,0.00,495.00
510196.30,6942893.50,40.55,0.00,495.00
