Easting,Northing,Elevation,Chainage,Vs
510273.40,6942839.90,39.51,0.00,450.00
510273.40,6942839.90,39.49,0.00,450.00
510273.40,6942839.90,39.49,0.00,455.00
510273.40,6942839.90,39.21,0.00,455.00
510273.40,6942839.90,40.06,0.00,455.00
510273.40,6942839.90,39.51,0.00,455.00
510273.40,6942839.90,39.21,0.00,460.00
510273.40,6942839.90,38.93,0.00,460.00
510273.40,6942839.90,40.42,0.00,460.00
510273.40,6942839.90,40.06,0.00,460.00
510273.40,6942839.90,38.93,0.00,465.00
510273.40,6942839.90,38.69,0.00,465.00
510273.40,6942839.90,40.76,0.00,465.00
510273.40,6942839.90,40.42,0.00,465.00
510273.40,6942839.90,38.69,0.00,470.00
510273.40,6942839.90,38.45,0.00,470.00
510273.40,6942839.90,41.11,0.00,470.00
510273.40,6942839.90,40.76,0.00,470.00
510273.40,6942839.90,38.45,0.00,475.00
510273.40,6942839.90,38.21,0.00,475.00
510273.40,6942839.90,41.45,0.00,475.00
510273.40,6942839.90,41.11,0.00,475.00
510273.40,6942839.90,38.21,0.00,480.00
510273.40,6942839.90,37.98,0.00,480.00
510273.40,6942839.90,41.76,0.00,480.00
510273.40,6942839.90,41.45,0.00,480.00
510273.40,6942839.90,37.98,0.00,485.00
510273.40,6942839.90,37.82,0.00,485.00
510273.40,6942839.90,42.07,0.00,485.00
510273.40,6942839.90,41.76,0.00,485.00
510273.40,6942839.90,37.82,0.00,490.00
510273.40,6942839.90,37.66,0.00,490.00
510273.40,6942839.90,42.39,0.00,490.00
510273.40,6942839.90,42.07,0.00,490.00
510273.40,6942839.90,37.66,0.00,495.00
510273.40,6942839.90,37.50,0.00,495.00
510273.40,6942839.90,42.70,0.00,495.00
510273.40,6942839.90,42.39,0.00,495.00
510273.40,6942839.90,37.50,0.00,500.00
510273.40,6942839.90,37.41,0.00,500.00
510273.40,6942839.90,43.50,0.00,500.00
510273.40,6942839.90,42.70,0.00,500.00
510273.40,6942839.90,37.41,0.00,505.00
510273.40,6942839.90,37.32,0.00,505.00
510273.40,6942839.90,37.32,0.00,510.00
510273.40,6942839.90,37.23,0.00,510.00
510273.40,6942839.90,37.23,0.00,515.00
510273.40,6942839.90,37.14,0.00,515.00
510273.40,6942839.90,37.14,0.00,520.00
510273.40,6942839.90,37.05,0.00,520.00
510273.40,6942839.90,37.05,0.00,525.00
510273.40,6942839.90,36.96,0.00,525.00
510273.40,6942839.90,36.96,0.00,530.00
510273.40,6942839.90,36.87,0.00,530.00
510273.40,6942839.90,36.87,0.00,535.00
510273.40,6942839.90,36.77,0.00,535.00
510273.40,6942839.90,36.77,0.00,540.00
510273.40,6942839.90,36.68,0.00,540.00
510273.40,6942839.90,36.68,0.00,545.00
510273.40,6942839.90,36.59,0.00,545.00
510273.40,6942839.90,36.59,0.00,550.00
510273.40,6942839.90,36.50,0.00,550.00
510273.40,6942839.90,36.50,0.00,550.00
510273.40,6942839.90,36.50,0.00,555.00
510273.40,6942839.90,36.50,0.00,555.00
510273.40,6942839.90,36.41,0.00,555.00
510273.40,6942839.90,36.41,0.00,560.00
510273.40,6942839.90,36.32,0.00,560.00
510273.40,6942839.90,36.32,0.00,565.00
510273.40,6942839.90,36.23,0.00,565.00
510273.40,6942839.90,36.23,0.00,570.00
510273.40,6942839.90,36.14,0.00,570.00
510273.40,6942839.90,36.14,0.00,575.00
510273.40,6942839.90,36.05,0.00,575.00
510273.40,6942839.90,36.05,0.00,580.00
510273.40,6942839.90,35.96,0.00,580.00
510273.40,6942839.90,35.96,0.00,585.00
510273.40,6942839.90,35.87,0.00,585.00
510273.40,6942839.90,35.87,0.00,590.00
510273.40,6942839.90,35.78,0.00,590.00
510273.40,6942839.90,35.78,0.00,595.00
510273.40,6942839.90,35.70,0.00,595.00
510273.40,6942839.90,35.70,0.00,600.00
510273.40,6942839.90,35.61,0.00,600.00
510273.40,6942839.90,35.61,0.00,605.00
510273.40,6942839.90,35.52,0.00,605.00
510273.40,6942839.90,35.52,0.00,610.00
510273.40,6942839.90,35.44,0.00,610.00
510273.40,6942839.90,35.44,0.00,615.00
510273.40,6942839.90,35.35,0.00,615.00
510273.40,6942839.90,35.35,0.00,620.00
510273.40,6942839.90,35.27,0.00,620.00
510273.40,6942839.90,35.27,0.00,625.00
510273.40,6942839.90,35.19,0.00,625.00
510273.40,6942839.90,35.19,0.00,630.00
510273.40,6942839.90,35.10,0.00,630.00
510273.40,6942839.90,35.10,0.00,635.00
510273.40,6942839.90,35.02,0.00,635.00
510273.40,6942839.90,35.02,0.00,640.00
510273.40,6942839.90,34.93,0.00,640.00
510273.40,6942839.90,34.93,0.00,645.00
510273.40,6942839.90,34.85,0.00,645.00
510273.40,6942839.90,34.85,0.00,650.00
510273.40,6942839.90,34.77,0.00,650.00
510273.40,6942839.90,34.77,0.00,655.00
510273.40,6942839.90,34.68,0.00,655.00
510273.40,6942839.90,34.68,0.00,660.00
510273.40,6942839.90,34.60,0.00,660.00
510273.40,6942839.90,34.60,0.00,665.00
510273.40,6942839.90,34.52,0.00,665.00
510273.40,6942839.90,34.52,0.00,670.00
510273.40,6942839.90,34.43,0.00,670.00
510273.40,6942839.90,34.43,0.00,675.00
510273.40,6942839.90,34.35,0.00,675.00
510273.40,6942839.90,34.35,0.00,680.00
510273.40,6942839.90,34.26,0.00,680.00
510273.40,6942839.90,34.26,0.00,685.00
510273.40,6942839.90,34.18,0.00,685.00
510273.40,6942839.90,34.18,0.00,690.00
510273.40,6942839.90,34.10,0.00,690.00
510273.40,6942839.90,34.10,0.00,695.00
510273.40,6942839.90,34.01,0.00,695.00
510273.40,6942839.90,34.01,0.00,700.00
510273.40,6942839.90,33.91,0.00,700.00
510273.40,6942839.90,33.91,0.00,705.00
510273.40,6942839.90,33.81,0.00,705.00
510273.40,6942839.90,33.81,0.00,710.00
510273.40,6942839.90,33.71,0.00,710.00
510273.40,6942839.90,33.71,0.00,715.00
510273.40,6942839.90,33.61,0.00,715.00
510273.40,6942839.90,33.61,0.00,720.00
510273.40,6942839.90,33.51,0.00,720.00
510273.40,6942839.90,33.51,0.00,725.00
510273.40,6942839.90,33.41,0.00,725.00
510273.40,6942839.90,33.41,0.00,730.00
510273.40,6942839.90,33.31,0.00,730.00
510273.40,6942839.90,33.31,0.00,735.00
510273.40,6942839.90,33.21,0.00,735.00
510273.40,6942839.90,33.21,0.00,740.00
510273.40,6942839.90,33.11,0.00,740.00
510273.40,6942839.90,33.11,0.00,745.00
510273.40,6942839.90,33.01,0.00,745.00
510273.40,6942839.90,33.01,0.00,750.00
510273.40,6942839.90,32.91,0.00,750.00
510273.40,6942839.90,32.91,0.00,755.00
510273.40,6942839.90,32.80,0.00,755.00
510273.40,6942839.90,32.80,0.00,760.00
510273.40,6942839.90,32.70,0.00,760.00
510273.40,6942839.90,32.70,0.00,765.00
510273.40,6942839.90,32.60,0.00,765.00
510273.40,6942839.90,32.60,0.00,770.00
510273.40,6942839.90,32.50,0.00,770.00
510273.40,6942839.90,32.50,0.00,775.00
510273.40,6942839.90,32.39,0.00,775.00
510273.40,6942839.90,32.39,0.00,780.00
510273.40,6942839.90,32.29,0.00,780.00
510273.40,6942839.90,32.29,0.00,785.00
510273.40,6942839.90,32.18,0.00,785.00
510273.40,6942839.90,32.18,0.00,790.00
510273.40,6942839.90,32.08,0.00,790.00
510273.40,6942839.90,31.96,0.00,795.00
510273.40,6942839.90,32.08,0.00,795.00
510273.40,6942839.90,31.96,0.00,800.00
510273.40,6942839.90,31.84,0.00,800.00
510273.40,6942839.90,31.84,0.00,805.00
510273.40,6942839.90,31.71,0.00,805.00
510273.40,6942839.90,31.71,0.00,810.00
510273.40,6942839.90,31.58,0.00,810.00
510273.40,6942839.90,31.46,0.00,815.00
510273.40,6942839.90,31.58,0.00,815.00
510273.40,6942839.90,31.46,0.00,820.00
510273.40,6942839.90,31.33,0.00,820.00
510273.40,6942839.90,31.33,0.00,825.00
510273.40,6942839.90,31.21,0.00,825.00
510273.40,6942839.90,31.08,0.00,830.00
510273.40,6942839.90,31.21,0.00,830.00
510273.40,6942839.90,31.08,0.00,835.00
510273.40,6942839.90,30.95,0.00,835.00
510273.40,6942839.90,30.95,0.00,840.00
510273.40,6942839.90,30.83,0.00,840.00
510273.40,6942839.90,30.83,0.00,845.00
510273.40,6942839.90,30.70,0.00,845.00
510273.40,6942839.90,30.70,0.00,850.00
510273.40,6942839.90,30.58,0.00,850.00
510273.40,6942839.90,30.58,0.00,855.00
510273.40,6942839.90,30.45,0.00,855.00
510273.40,6942839.90,30.45,0.00,860.00
510273.40,6942839.90,30.31,0.00,860.00
510273.40,6942839.90,30.31,0.00,865.00
510273.40,6942839.90,30.17,0.00,865.00
510273.40,6942839.90,30.17,0.00,870.00
510273.40,6942839.90,30.03,0.00,870.00
510273.40,6942839.90,30.03,0.00,875.00
510273.40,6942839.90,29.88,0.00,875.00
510273.40,6942839.90,29.88,0.00,880.00
510273.40,6942839.90,29.73,0.00,880.00
510273.40,6942839.90,29.73,0.00,885.00
510273.40,6942839.90,29.58,0.00,885.00
510273.40,6942839.90,29.58,0.00,890.00
510273.40,6942839.90,29.43,0.00,890.00
510273.40,6942839.90,29.43,0.00,895.00
510273.40,6942839.90,29.28,0.00,895.00
510273.40,6942839.90,29.28,0.00,900.00
510273.40,6942839.90,29.13,0.00,900.00
510273.40,6942839.90,29.13,0.00,905.00
510273.40,6942839.90,28.98,0.00,905.00
510273.40,6942839.90,28.98,0.00,910.00
510273.40,6942839.90,28.83,0.00,910.00
510273.40,6942839.90,28.83,0.00,915.00
510273.40,6942839.90,28.68,0.00,915.00
510273.40,6942839.90,28.68,0.00,920.00
510273.40,6942839.90,28.53,0.00,920.00
510273.40,6942839.90,28.53,0.00,925.00
510273.40,6942839.90,28.36,0.00,925.00
510273.40,6942839.90,28.36,0.00,930.00
510273.40,6942839.90,28.20,0.00,930.00
510273.40,6942839.90,28.20,0.00,935.00
510273.40,6942839.90,28.04,0.00,935.00
510273.40,6942839.90,28.04,0.00,940.00
510273.40,6942839.90,27.87,0.00,940.00
510273.40,6942839.90,27.87,0.00,945.00
510273.40,6942839.90,27.70,0.00,945.00
510273.40,6942839.90,27.70,0.00,950.00
510273.40,6942839.90,27.53,0.00,950.00
510273.40,6942839.90,27.53,0.00,955.00
510273.40,6942839.90,27.36,0.00,955.00
510273.40,6942839.90,27.36,0.00,960.00
510273.40,6942839.90,27.20,0.00,960.00
510273.40,6942839.90,27.20,0.00,965.00
510273.40,6942839.90,27.03,0.00,965.00
510273.40,6942839.90,27.03,0.00,970.00
510273.40,6942839.90,26.86,0.00,970.00
510273.40,6942839.90,26.86,0.00,975.00
510273.40,6942839.90,26.69,0.00,975.00
510273.40,6942839.90,26.69,0.00,980.00
510273.40,6942839.90,26.52,0.00,980.00
510273.40,6942839.90,26.52,0.00,985.00
510273.40,6942839.90,26.35,0.00,985.00
510273.40,6942839.90,26.35,0.00,990.00
510273.40,6942839.90,26.19,0.00,990.00
510273.40,6942839.90,26.19,0.00,995.00
510273.40,6942839.90,26.02,0.00,995.00
510273.40,6942839.90,26.02,0.00,1000.00
510273.40,6942839.90,25.85,0.00,1000.00
510273.40,6942839.90,25.85,0.00,1005.00
510273.40,6942839.90,25.68,0.00,1005.00
510273.40,6942839.90,25.68,0.00,1010.00
510273.40,6942839.90,25.51,0.00,1010.00
510273.40,6942839.90,25.51,0.00,1015.00
510273.40,6942839.90,25.34,0.00,1015.00
